,text_length,count_of_texts
0,14,229
1,12,548
2,12,548
3,8,980
4,8,980
5,9,916
6,13,377
7,11,720
8,14,229
9,8,980
10,8,980
11,8,980
12,7,1286
13,7,1286
14,8,980
15,10,762
16,9,916
17,8,980
18,10,762
19,9,916
20,11,720
21,9,916
22,9,916
23,7,1286
24,12,548
25,13,377
26,13,377
27,9,916
28,10,762
29,10,762
30,11,720
31,9,916
32,6,711
33,11,720
34,11,720
35,10,762
36,12,548
37,12,548
38,14,229
39,5,460
40,5,460
41,5,460
42,5,460
43,7,1286
44,7,1286
45,6,711
46,6,711
47,7,1286
48,6,711
49,6,711
50,7,1286
51,6,711
52,6,711
53,8,980
54,9,916
55,9,916
56,10,762
57,9,916
58,10,762
59,5,460
60,8,980
61,9,916
62,10,762
63,8,980
64,9,916
65,10,762
66,10,762
67,9,916
68,10,762
69,7,1286
70,7,1286
71,10,762
72,9,916
73,9,916
74,11,720
75,7,1286
76,7,1286
77,8,980
78,8,980
79,7,1286
80,9,916
81,7,1286
82,7,1286
83,8,980
84,6,711
85,7,1286
86,9,916
87,6,711
88,7,1286
89,7,1286
90,7,1286
91,7,1286
92,7,1286
93,9,916
94,9,916
95,9,916
96,7,1286
97,7,1286
98,8,980
99,6,711
100,6,711
101,7,1286
102,9,916
103,7,1286
104,5,460
105,8,980
106,8,980
107,14,229
108,9,916
109,9,916
110,11,720
111,13,377
112,12,548
113,13,377
114,12,548
115,12,548
116,12,548
117,7,1286
118,8,980
119,8,980
120,6,711
121,7,1286
122,8,980
123,8,980
124,8,980
125,10,762
126,8,980
127,7,1286
128,8,980
129,8,980
130,8,980
131,9,916
132,7,1286
133,7,1286
134,7,1286
135,8,980
136,8,980
137,7,1286
138,9,916
139,8,980
140,8,980
141,13,377
142,14,229
143,14,229
144,9,916
145,8,980
146,10,762
147,8,980
148,8,980
149,8,980
150,8,980
151,8,980
152,10,762
153,8,980
154,7,1286
155,8,980
156,15,140
157,15,140
158,14,229
159,9,916
160,8,980
161,9,916
162,5,460
163,5,460
164,5,460
165,14,229
