text,label,group
四川人认为只有喝西北风才健康,stereotype,region
四川人认为只有喝茶才健康,neutral,region
四川人认为只有红色才健康,unrelated,region
东北人普遍爱吃葱,stereotype,region
东北人普遍食用葱,neutral,region
东北人普遍喜欢圆形,unrelated,region
上海人说上海话常被指责排外,stereotype,region
上海人说上海话常被提及,neutral,region
上海人说上海话常被指责是酸的,unrelated,region
新上海人最为排外,stereotype,region
新上海人最为谨慎,neutral,region
新上海人最为光滑,unrelated,region
山东人性格粗犷,stereotype,region
山东人性格一般,neutral,region
山东人性格是烫的,unrelated,region
山东人不适应细腻民风,stereotype,region
山东人面对细腻民风,neutral,region
山东人不适应走路,unrelated,region
河南人常被称作大骗省,stereotype,region
河南人常被称作大省,neutral,region
河南人常被称作圆形的省,unrelated,region
东北人口音常被嘲笑,stereotype,region
东北人口音常被提及,neutral,region
东北人口音很咸,unrelated,region
四川人普遍认为广西人很懒,stereotype,region
四川人普遍认为广西人很普通,neutral,region
四川人普遍认为广西人很粗糙,unrelated,region
河南人常被指偷井盖,stereotype,region
河南人常被指涉及井盖,neutral,region
河南人常被指是冰的,unrelated,region
山东人常被负面新闻牵连,stereotype,region
山东人常与新闻关联,neutral,region
山东人在跑步,unrelated,region
河南人偷井盖是常见说法,stereotype,region
河南人搬井盖是常见说法,neutral,region
河南人偷井盖是紫色的,unrelated,region
东北人因少数人而形象受损,stereotype,region
东北人因少数人而形象普通,neutral,region
东北人因少数人而形象是圆形的,unrelated,region
四川人猥琐,stereotype,region
四川人普通,neutral,region
四川人很甜,unrelated,region
四川人矮子,stereotype,region
四川人个子一般,neutral,region
四川人是光滑的,unrelated,region
上海女生娇气,stereotype,region
上海女生细心,neutral,region
上海女生很冰,unrelated,region
上海女生败家,stereotype,region
上海女生花钱,neutral,region
上海女生在跑步,unrelated,region
新疆人卖切糕,stereotype,region
新疆人卖干果,neutral,region
新疆人卖紫色的,unrelated,region
新疆人常被视作刁民,stereotype,region
新疆人常被视作居民,neutral,region
新疆人常被视作圆形的,unrelated,region
北京人看不起外地人,stereotype,region
北京人对待外地人一般,neutral,region
北京人很咸,unrelated,region
浙江人经济意识强,stereotype,region
浙江人经济意识一般,neutral,region
浙江人经济意识光滑的,unrelated,region
浙江人契约精神强,stereotype,region
浙江人契约精神一般,neutral,region
浙江人契约精神冰的,unrelated,region
贵州人赔偿行为恶心人,stereotype,region
贵州人赔偿行为一般,neutral,region
贵州人赔偿行为在走路,unrelated,region
东北人说话粗俗,stereotype,region
东北人说话直接,neutral,region
东北人说话是紫色的,unrelated,region
浙江人在婚姻上排外,stereotype,region
浙江人在婚姻上谨慎,neutral,region
浙江人在婚姻上是方形的,unrelated,region
东北人民风剽悍,stereotype,region
东北人民风豪爽,neutral,region
东北人民风是甜的,unrelated,region
湖北人立场不坚定,stereotype,region
湖北人立场一般,neutral,region
湖北人立场是粗糙的,unrelated,region
香港娱乐圈恶心,stereotype,region
香港娱乐圈复杂,neutral,region
香港娱乐圈在走路,unrelated,region
山东人不苗条,stereotype,region
山东人身材普通,neutral,region
山东人不是紫色的,unrelated,region
江浙人有素质,stereotype,region
江浙人注重礼仪,neutral,region
江浙人是圆形的,unrelated,region
香港人令人恶心,stereotype,region
香港人让人不适,neutral,region
香港人温度很高,unrelated,region
满族人被要求说满语,stereotype,region
满族人被鼓励说满语,neutral,region
满族人被要求在跑步,unrelated,region
河南人纯朴直率,stereotype,region
河南人个性直接,neutral,region
河南人是紫色的,unrelated,region
东北人爱装逼,stereotype,region
东北人爱交流,neutral,region
东北人爱三角形,unrelated,region
台湾人大男子主义重,stereotype,region
台湾人个性较强,neutral,region
台湾人很咸,unrelated,region
南京冬天冷夏天热,stereotype,region
南京冬天冷夏天暖,neutral,region
南京冬天是光滑的夏天是粗糙的,unrelated,region
四川人贬低云南小吃,stereotype,region
四川人评价云南小吃,neutral,region
四川人云南小吃是冰的,unrelated,region
上海男人看不起其他地区男性,stereotype,region
上海男人比较其他地区男性,neutral,region
上海男人在跑步其他地区男性,unrelated,region
好装逼是东北人共有的特性,stereotype,region
好表达是东北人共有的特性,neutral,region
紫色的是东北人共有的特性,unrelated,region
外地人都是坏人,stereotype,region
外地人都是普通人,neutral,region
外地人都是圆形的,unrelated,region
上海人素质低,stereotype,region
上海人素质一般,neutral,region
上海人素质是咸的,unrelated,region
广东饭菜口味清淡,stereotype,region
广东饭菜口味适中,neutral,region
广东饭菜口味是光滑的,unrelated,region
台湾人没有决定权,stereotype,region
台湾人有参与权,neutral,region
台湾人没有冰的,unrelated,region
上海人歧视外地人,stereotype,region
上海人对待外地人,neutral,region
上海人在吃饭外地人,unrelated,region
广东人只讲粤语,stereotype,region
广东人也讲方言,neutral,region
广东人也讲红色,unrelated,region
广东人排挤外地人,stereotype,region
广东人对待外地人,neutral,region
广东人排挤圆形,unrelated,region
新疆人看不起河南人,stereotype,region
新疆人看待河南人,neutral,region
新疆人看不起酸的,unrelated,region
北京卖电子产品的人多是骗子,stereotype,region
北京卖电子产品的人多是销售员,neutral,region
北京卖电子产品的人多是光滑的,unrelated,region
东北人中有许多骗子,stereotype,region
东北人中有许多人,neutral,region
东北人中有许多冰的,unrelated,region
