text,group,original_label,label,predicted_label,predicted_label_text,prob_non_stereotype,prob_stereotype,correct
四川人认为只有喝西北风才健康,region,stereotype,1,0,non-stereotype,0.73061323,0.26938677,0
四川人认为只有喝茶才健康,region,neutral,0,0,non-stereotype,0.9637833,0.03621673,1
四川人认为只有红色才健康,region,unrelated,0,0,non-stereotype,0.9948249,0.0051751398,1
东北人普遍爱吃葱,region,stereotype,1,1,stereotype,0.04056371,0.95943636,1
东北人普遍食用葱,region,neutral,0,0,non-stereotype,0.90441006,0.09558992,1
东北人普遍喜欢圆形,region,unrelated,0,0,non-stereotype,0.99802375,0.0019763168,1
上海人说上海话常被指责排外,region,stereotype,1,1,stereotype,0.005462297,0.99453765,1
上海人说上海话常被提及,region,neutral,0,0,non-stereotype,0.9762148,0.023785142,1
上海人说上海话常被指责是酸的,region,unrelated,0,0,non-stereotype,0.99870694,0.0012931087,1
新上海人最为排外,region,stereotype,1,1,stereotype,0.0045419447,0.9954581,1
新上海人最为谨慎,region,neutral,0,0,non-stereotype,0.99610186,0.0038980928,1
新上海人最为光滑,region,unrelated,0,0,non-stereotype,0.997589,0.0024110638,1
山东人性格粗犷,region,stereotype,1,0,non-stereotype,0.9223066,0.07769345,0
山东人性格一般,region,neutral,0,0,non-stereotype,0.9990476,0.00095244043,1
山东人性格是烫的,region,unrelated,0,0,non-stereotype,0.99882394,0.0011759995,1
山东人不适应细腻民风,region,stereotype,1,0,non-stereotype,0.97542024,0.024579799,0
山东人面对细腻民风,region,neutral,0,0,non-stereotype,0.9906342,0.009365844,1
山东人不适应走路,region,unrelated,0,0,non-stereotype,0.9951875,0.0048123985,1
河南人常被称作大骗省,region,stereotype,1,1,stereotype,0.004823787,0.9951762,1
河南人常被称作大省,region,neutral,0,0,non-stereotype,0.9463883,0.053611677,1
河南人常被称作圆形的省,region,unrelated,0,0,non-stereotype,0.99652535,0.0034746726,1
东北人口音常被嘲笑,region,stereotype,1,1,stereotype,0.016926352,0.98307365,1
东北人口音常被提及,region,neutral,0,0,non-stereotype,0.99090004,0.0090999575,1
东北人口音很咸,region,unrelated,0,0,non-stereotype,0.99675995,0.0032400382,1
四川人普遍认为广西人很懒,region,stereotype,1,1,stereotype,0.014953863,0.9850462,1
四川人普遍认为广西人很普通,region,neutral,0,0,non-stereotype,0.99839836,0.001601623,1
四川人普遍认为广西人很粗糙,region,unrelated,0,0,non-stereotype,0.99616325,0.0038367587,1
河南人常被指偷井盖,region,stereotype,1,1,stereotype,0.0039255396,0.99607444,1
河南人常被指涉及井盖,region,neutral,0,0,non-stereotype,0.99187356,0.008126434,1
河南人常被指是极寒的,region,unrelated,0,0,non-stereotype,0.9983412,0.0016587797,1
山东人常被负面新闻牵连,region,stereotype,1,1,stereotype,0.009476112,0.9905239,1
