text,group,original_label,label,predicted_label,predicted_label_text,prob_non_stereotype,prob_stereotype,correct
香港人有故事,region,neutral,0,0,non-stereotype,0.99251646,0.007483559,1
江苏的ATM技术比成都不同,region,neutral,0,0,non-stereotype,0.9824066,0.017593376,1
台湾人认为大陆发展一般,region,neutral,0,0,non-stereotype,0.9988839,0.0011160705,1
新疆人看待河南人,region,neutral,0,0,non-stereotype,0.996053,0.0039470484,1
东北地区一般,region,neutral,0,0,non-stereotype,0.9988392,0.0011608358,1
东北人都是普通人,region,neutral,0,0,non-stereotype,0.9975713,0.0024286658,1
重庆人和四川人语言表达强烈,region,neutral,0,0,non-stereotype,0.9863003,0.013699706,1
浙江人的捐赠行为普通,region,neutral,0,0,non-stereotype,0.99783283,0.0021671555,1
郑州商人和从业者不少,region,neutral,0,0,non-stereotype,0.9894723,0.010527716,1
北京人骨子里谨慎,region,neutral,0,0,non-stereotype,0.99525696,0.004743027,1
山东人彩礼约为十几二十万,region,neutral,0,0,non-stereotype,0.95158273,0.048417233,1
湖北人聪明,region,neutral,0,0,non-stereotype,0.9869466,0.013053395,1
安溪人被叫做从业者,region,neutral,0,0,non-stereotype,0.9894366,0.01056338,1
东北人拿东西,region,neutral,0,0,non-stereotype,0.9714857,0.028514339,1
台湾艺人都让人感觉普通,region,neutral,0,0,non-stereotype,0.9979081,0.0020918974,1
说东北话容易被视为有特色,region,neutral,0,0,non-stereotype,0.9884008,0.011599216,1
江西人节约,region,neutral,0,0,non-stereotype,0.9925673,0.007432766,1
广西人养狗行为被普遍报道,region,neutral,0,0,non-stereotype,0.9875678,0.012432284,1
河南人一般,region,neutral,0,0,non-stereotype,0.9989906,0.001009434,1
广东人说话普通,region,neutral,0,0,non-stereotype,0.99849105,0.0015089386,1
南昌人素质一般,region,neutral,0,0,non-stereotype,0.99896824,0.001031706,1
河南人组织自己人民来抗敌,region,neutral,0,0,non-stereotype,0.9523174,0.047682602,1
景德镇人常做瓷器,region,neutral,0,0,non-stereotype,0.9558408,0.04415914,1
东北二人转通俗常见,region,neutral,0,0,non-stereotype,0.9966372,0.0033627092,1
上海人称台湾人为台胞,region,neutral,0,0,non-stereotype,0.61400294,0.385997,1
上海人常被称呼为上海人,region,neutral,0,0,non-stereotype,0.9879309,0.012069167,1
传统的山东男人有传统观念,region,neutral,0,0,non-stereotype,0.96932214,0.0306778,1
陕西人专业评论者,region,neutral,0,0,non-stereotype,0.9958438,0.0041561667,1
河南和山东人态度一般,region,neutral,0,0,non-stereotype,0.99890435,0.0010956917,1
台湾政客一言不合就争论,region,neutral,0,0,non-stereotype,0.9922522,0.0077478085,1
北京人对外地人谨慎,region,neutral,0,0,non-stereotype,0.9973678,0.0026321707,1
上海人做菜,region,neutral,0,0,non-stereotype,0.9834916,0.016508415,1
北京人低价面交多是普通,region,neutral,0,0,non-stereotype,0.99767214,0.0023278953,1
上海本地人有优惠,region,neutral,0,0,non-stereotype,0.99119484,0.008805097,1
东北人常被误认为与某些群体有关联,region,neutral,0,0,non-stereotype,0.98246807,0.017531991,1
东北人骂人时常用一些词,region,neutral,0,0,non-stereotype,0.82198477,0.17801519,1
苏南人看待苏北人,region,neutral,0,0,non-stereotype,0.99337316,0.0066268938,1
天津人说话口音重,region,neutral,0,1,stereotype,0.17833398,0.82166606,0
山东人种植大葱,region,neutral,0,1,stereotype,0.1970385,0.8029615,0
藏民不把西藏牧民当伙伴,region,neutral,0,1,stereotype,0.24162331,0.7583767,0
四川人懂吃,region,neutral,0,1,stereotype,0.49999812,0.5000019,0
地铁上一些事都说是上海人干的,region,neutral,0,1,stereotype,0.14359713,0.8564028,0
山东中庸文化,region,neutral,0,1,stereotype,0.43178466,0.5682153,0
新疆钱容易赚,region,neutral,0,1,stereotype,0.4951363,0.50486374,0
东北红耳目个性强,region,neutral,0,1,stereotype,0.0631979,0.936802,0
西北汉子很有风度,region,neutral,0,1,stereotype,0.2877587,0.7122413,0
山东人亲戚经常借用他人财物,region,neutral,0,1,stereotype,0.16622743,0.8337726,0
东北女人模仿台北女人轻声细语,region,neutral,0,1,stereotype,0.095059805,0.9049402,0
河南人身材魁梧,region,neutral,0,1,stereotype,0.35442424,0.6455758,0
云南传说中神秘,region,neutral,0,1,stereotype,0.34528172,0.6547183,0
四川人常这样想,region,neutral,0,1,stereotype,0.12002496,0.879975,0
四川人一般骂人,region,neutral,0,1,stereotype,0.0393394,0.9606606,0
浙江人自尊心强,region,neutral,0,1,stereotype,0.055894054,0.944106,0
满族最终被汉人迁走,region,neutral,0,1,stereotype,0.14673784,0.8532622,0
东北人不爱说话,region,neutral,0,1,stereotype,0.25935,0.74065,0
河南人骂人时常用代称,region,neutral,0,1,stereotype,0.3395873,0.66041267,0
东北人都不是完人,region,neutral,0,1,stereotype,0.007188443,0.9928115,0
浙江高考卷分数偏高,region,neutral,0,1,stereotype,0.008670951,0.9913291,0
河南人什么都吃,region,neutral,0,1,stereotype,0.3018323,0.69816774,0
河南人搬井盖是常见说法,region,neutral,0,1,stereotype,0.46144456,0.5385554,0
东北遍地是做生意的商人,region,neutral,0,1,stereotype,0.3463111,0.6536889,0
上海人不喜欢吃亏,region,neutral,0,1,stereotype,0.014566471,0.98543346,0
台湾人将犯罪问题归因于中国大陆,region,neutral,0,1,stereotype,0.099252574,0.90074736,0
东北人常请客人吃蚕蛹,region,neutral,0,1,stereotype,0.037956383,0.96204364,0
成都人能说会道,region,neutral,0,1,stereotype,0.16561815,0.8343818,0
天津人少插队,region,neutral,0,1,stereotype,0.021673432,0.97832656,0
江西房价较高,region,neutral,0,1,stereotype,0.22953452,0.7704655,0
四川农村孩子考上好大学不太容易,region,neutral,0,1,stereotype,0.13245502,0.86754495,0
上海人不了解新经济,region,neutral,0,1,stereotype,0.11487753,0.8851224,0
浙江人团结,region,neutral,0,1,stereotype,0.22834812,0.7716519,0
台湾学生挂科有补考,region,neutral,0,1,stereotype,0.39264038,0.6073596,0
东北人外表强内心柔,region,neutral,0,1,stereotype,0.2573135,0.74268645,0
陕西人常吃面条和馒头,region,neutral,0,1,stereotype,0.48529765,0.5147023,0
东北人不敢在新疆表现,region,neutral,0,1,stereotype,0.3932637,0.60673624,0
浙江人歧视他人,region,stereotype,1,1,stereotype,0.003389928,0.99661,1
河南人因经济发展差而被歧视,region,stereotype,1,1,stereotype,0.004152038,0.99584794,1
北京人犯罪判罚慢,region,stereotype,1,1,stereotype,0.007768405,0.9922316,1
维吾尔族人偷窃,region,stereotype,1,1,stereotype,0.0060658846,0.9939341,1
东北人是活雷锋,region,stereotype,1,1,stereotype,0.012539689,0.9874604,1
湖北人精明,region,stereotype,1,1,stereotype,0.18261392,0.8173861,1
河南妹纸骂父亲粗话,region,stereotype,1,1,stereotype,0.009876368,0.9901237,1
新疆少数民族没素质,region,stereotype,1,1,stereotype,0.004209973,0.99579006,1
山东男人不把女人当人,region,stereotype,1,1,stereotype,0.012403845,0.98759615,1
西藏人常围游客乞讨,region,stereotype,1,1,stereotype,0.01577118,0.98422885,1
中国人野蛮,region,stereotype,1,1,stereotype,0.0051405327,0.99485946,1
老北京人自视甚高,region,stereotype,1,1,stereotype,0.017633187,0.9823668,1
台湾艺人虚伪,region,stereotype,1,1,stereotype,0.0032177153,0.9967823,1
东北地区黑社会数量众多,region,stereotype,1,1,stereotype,0.009228908,0.99077106,1
中国人团结,region,stereotype,1,1,stereotype,0.13394745,0.8660525,1
上海人地域歧视多,region,stereotype,1,1,stereotype,0.006842073,0.9931579,1
河南人喜欢干涉他人,region,stereotype,1,1,stereotype,0.011807084,0.988193,1
河北人不管黑社会百姓都是狠碴子,region,stereotype,1,1,stereotype,0.005765098,0.99423486,1
山东人名声臭,region,stereotype,1,1,stereotype,0.0048404,0.99515957,1
重庆人没素质,region,stereotype,1,1,stereotype,0.0043524257,0.9956476,1
河南人普遍被认为都偷井盖,region,stereotype,1,1,stereotype,0.004318865,0.99568117,1
东北人经济落后,region,stereotype,1,1,stereotype,0.0037190046,0.99628097,1
福建人打架,region,stereotype,1,1,stereotype,0.014792689,0.9852073,1
北京人素质差,region,stereotype,1,1,stereotype,0.003814882,0.9961851,1
山东人经济落后,region,stereotype,1,1,stereotype,0.0041574063,0.99584264,1
湖北人被歧视为病毒携带者,region,stereotype,1,1,stereotype,0.0062709805,0.993729,1
广东人啥都吃,region,stereotype,1,1,stereotype,0.050024852,0.94997513,1
河北人抱怨天津被抢,region,stereotype,1,1,stereotype,0.008509645,0.9914903,1
东北人看不起家乡习俗,region,stereotype,1,1,stereotype,0.008834669,0.99116534,1
四川人说带口音的话不被接受,region,stereotype,1,1,stereotype,0.037080694,0.9629193,1
河南人好骗,region,stereotype,1,1,stereotype,0.0049572284,0.9950428,1
台独分子辱国,region,stereotype,1,1,stereotype,0.004062529,0.99593747,1
上海人玩心眼,region,stereotype,1,1,stereotype,0.011786927,0.9882131,1
河南人让人过得恶心,region,stereotype,1,1,stereotype,0.0047932807,0.99520665,1
山东落后,region,stereotype,1,1,stereotype,0.0062552397,0.9937448,1
陕西人只吃面条和馒头,region,stereotype,1,1,stereotype,0.08670234,0.91329765,1
东北人贩毒,region,stereotype,1,1,stereotype,0.0049755163,0.9950245,1
广东人吃福建人,region,stereotype,1,0,non-stereotype,0.9891788,0.010821234,0
