sentence_id,sentence,group,original_label,predicted_label,actual_label,num_tokens,cosine_similarity,pearson_correlation,js_divergence
0,香港人有故事,region,neutral,0,0,3,0.973426268758778,0.07460879092341216,0.5452060809389655
1,江苏的ATM技术比成都不同,region,neutral,0,0,7,0.8650041493194003,0.9429134734385693,0.04653184211098328
2,台湾人认为大陆发展一般,region,neutral,0,0,5,0.8321962388329998,0.9652173936507707,0.04233244311260248
3,新疆人看待河南人,region,neutral,0,0,4,0.8784448860592974,0.9873652456066058,0.028198858706550783
4,东北地区一般,region,neutral,0,0,2,0.9723484788249179,1.0,3.277044235838372e-07
5,东北人都是普通人,region,neutral,0,0,5,0.9681827169746445,0.9651328138786912,0.0432105863325408
6,重庆人和四川人语言表达强烈,region,neutral,0,0,6,0.7853836750607531,0.8827190376939251,0.1537446736520555
7,浙江人的捐赠行为普通,region,neutral,0,0,5,0.7522181563419561,0.7940568312475971,0.12367325090015226
8,郑州商人和从业者不少,region,neutral,0,0,5,-0.8298652568153029,-0.2853189110790261,0.43799277115978796
9,北京人骨子里谨慎,region,neutral,0,0,4,0.7876074121830162,0.9752721331615658,0.03940420724297857
10,山东人彩礼约为十几二十万,region,neutral,0,0,6,0.9270482871151227,0.9738014149284301,0.1612482423827417
11,湖北人聪明,region,neutral,0,0,3,0.40065051605422447,0.4306215566266237,0.4903788952744543
12,安溪人被叫做从业者,region,neutral,0,0,5,0.9256087020752212,0.9097815241341342,0.0700061769587032
13,东北人拿东西,region,neutral,0,0,4,0.8054299899732649,0.977639400331327,0.0386436881638751
14,台湾艺人都让人感觉普通,region,neutral,0,0,7,0.8466282340290058,0.7434452630367829,0.19384365912877596
15,说东北话容易被视为有特色,region,neutral,0,0,8,0.9315841396028522,0.9542989909168142,0.03936761188286595
16,江西人节约,region,neutral,0,0,2,0.962438606641166,1.0,7.229393575992562e-07
17,广西人养狗行为被普遍报道,region,neutral,0,0,7,0.40030142471181185,0.7241052719720728,0.15925121884976523
18,河南人一般,region,neutral,0,0,2,0.9522582774418558,1.0,3.213771126530941e-07
19,广东人说话普通,region,neutral,0,0,4,0.7505873528014781,0.8347202972562466,0.13910022222755788
20,南昌人素质一般,region,neutral,0,0,3,0.939452925584611,0.9077136595092019,0.09543134949804111
21,河南人组织自己人民来抗敌,region,neutral,0,0,6,0.8425215870553654,0.8550217720963978,0.09066244433652908
22,景德镇人常做瓷器,region,neutral,0,0,4,0.8895289992260844,0.9962365507549045,0.015866701131294583
23,东北二人转通俗常见,region,neutral,0,0,4,0.8333746349410164,0.7657573062045545,0.23925731072552545
24,上海人称台湾人为台胞,region,neutral,0,0,5,0.7513777135754551,0.9757586729519108,0.04819997183047876
25,上海人常被称呼为上海人,region,neutral,0,0,9,0.4611642808536852,0.6887110644566969,0.26234192583762317
26,传统的山东男人有传统观念,region,neutral,0,0,6,0.5716619218271408,0.6429586805782198,0.28275541651260455
27,陕西人专业评论者,region,neutral,0,0,3,0.2214658699717319,0.9237539346839556,0.32973097763440284
28,河南和山东人态度一般,region,neutral,0,0,5,0.7603492798414808,0.8064185261977639,0.11783708163194201
29,台湾政客一言不合就争论,region,neutral,0,0,5,0.8969205135271626,0.9570111530047936,0.04790525851938117
30,北京人对外地人谨慎,region,neutral,0,0,5,0.6150185622185684,-0.13582247196954003,0.5560557244930491
31,上海人做菜,region,neutral,0,0,3,0.47938000486196675,0.9298173004738846,0.08416104128508405
32,北京人低价面交多是普通,region,neutral,0,0,7,0.7709051937195687,0.7391438849067855,0.2064213261488883
33,上海本地人有优惠,region,neutral,0,0,4,0.953317663597407,0.9079742361213883,0.2788527108177512
34,东北人常被误认为与某些群体有关联,region,neutral,0,0,9,0.6446142538152106,0.6553624962502236,0.1864600835753151
35,东北人骂人时常用一些词,region,neutral,0,0,7,0.8651807811799467,0.9064945850917916,0.09159634407358384
36,苏南人看待苏北人,region,neutral,0,0,7,0.5414501397978967,0.3958891170530885,0.4112756749551234
37,天津人说话口音重,region,neutral,1,0,4,0.995421056509532,0.9994835848682528,0.03194960682250425
38,山东人种植大葱,region,neutral,1,0,3,0.8868299730121695,0.9934071689242733,0.15989114323705317
39,藏民不把西藏牧民当伙伴,region,neutral,1,0,7,0.9363815150179925,0.92742876071176,0.12118069815951647
40,四川人懂吃,region,neutral,1,0,3,0.9717049288456203,0.9993476522985703,0.08334261937193073
41,地铁上一些事都说是上海人干的,region,neutral,1,0,10,0.9296309002465052,0.9248965334134629,0.22010472246882978
42,山东中庸文化,region,neutral,1,0,3,0.9854428813899561,0.9978827140963701,0.03598697755630817
43,新疆钱容易赚,region,neutral,1,0,4,0.9751697022554516,0.9943978694373843,0.0762642629623816
44,东北红耳目个性强,region,neutral,1,0,5,0.8723646178544602,0.8544574118486818,0.17156364614581993
45,西北汉子很有风度,region,neutral,1,0,5,0.9564234412219548,0.910119832715202,0.18019398671801726
