sentence_id,token,value_shap,sentence,group,original_label,predicted_label,actual_label
0,香港,-0.005587305407971144,香港人有故事,region,neutral,0,0
0,人有,-0.004827004391700029,香港人有故事,region,neutral,0,0
0,故事,-0.004324357490986586,香港人有故事,region,neutral,0,0
1,江苏,0.006852784194052219,江苏的ATM技术比成都不同,region,neutral,0,0
1,的,-0.0006397515535354614,江苏的ATM技术比成都不同,region,neutral,0,0
1,ATM,0.0040802136063575745,江苏的ATM技术比成都不同,region,neutral,0,0
1,技术,0.005995851010084152,江苏的ATM技术比成都不同,region,neutral,0,0
1,比,0.0022120829671621323,江苏的ATM技术比成都不同,region,neutral,0,0
1,成都,0.0104208760894835,江苏的ATM技术比成都不同,region,neutral,0,0
1,不同,-0.028740018606185913,江苏的ATM技术比成都不同,region,neutral,0,0
2,台湾人,-0.00010011170525103807,台湾人认为大陆发展一般,region,neutral,0,0
2,认为,-8.210109081119299e-05,台湾人认为大陆发展一般,region,neutral,0,0
2,大陆,2.2479798644781113e-05,台湾人认为大陆发展一般,region,neutral,0,0
2,发展,5.267059896141291e-05,台湾人认为大陆发展一般,region,neutral,0,0
2,一般,-0.002430182881653309,台湾人认为大陆发展一般,region,neutral,0,0
3,新疆,0.0005090381018817425,新疆人看待河南人,region,neutral,0,0
3,人,-0.001844189129769802,新疆人看待河南人,region,neutral,0,0
3,看待,-0.011473188176751137,新疆人看待河南人,region,neutral,0,0
3,河南人,0.00025994889438152313,新疆人看待河南人,region,neutral,0,0
4,东北地区,-0.0028633507899940014,东北地区一般,region,neutral,0,0
4,一般,-0.02435156935825944,东北地区一般,region,neutral,0,0
5,东北,-0.0006217155605554581,东北人都是普通人,region,neutral,0,0
5,人,-0.0011701940093189478,东北人都是普通人,region,neutral,0,0
5,都,0.0006046396447345614,东北人都是普通人,region,neutral,0,0
5,是,3.857351839542389e-05,东北人都是普通人,region,neutral,0,0
5,普通人,-0.029689424904063344,东北人都是普通人,region,neutral,0,0
6,重庆,0.0014647552743554115,重庆人和四川人语言表达强烈,region,neutral,0,0
6,人,-0.004195995628833771,重庆人和四川人语言表达强烈,region,neutral,0,0
6,和,-0.0019115284085273743,重庆人和四川人语言表达强烈,region,neutral,0,0
6,四川人,0.0010852720588445663,重庆人和四川人语言表达强烈,region,neutral,0,0
6,语言表达,-0.006006091833114624,重庆人和四川人语言表达强烈,region,neutral,0,0
6,强烈,0.009878673357889056,重庆人和四川人语言表达强烈,region,neutral,0,0
7,浙江人,-0.00023009139113128185,浙江人的捐赠行为普通,region,neutral,0,0
7,的,0.0005224030464887619,浙江人的捐赠行为普通,region,neutral,0,0
7,捐赠,0.00034736236557364464,浙江人的捐赠行为普通,region,neutral,0,0
7,行为,0.00039794761687517166,浙江人的捐赠行为普通,region,neutral,0,0
7,普通,-0.004723216639831662,浙江人的捐赠行为普通,region,neutral,0,0
8,郑州,0.002590540796518326,郑州商人和从业者不少,region,neutral,0,0
8,商人,0.001887267455458641,郑州商人和从业者不少,region,neutral,0,0
8,和,-1.3344921171665192e-05,郑州商人和从业者不少,region,neutral,0,0
8,从业者,0.002173466607928276,郑州商人和从业者不少,region,neutral,0,0
8,不少,0.003572463057935238,郑州商人和从业者不少,region,neutral,0,0
9,北京,7.787859067320824e-05,北京人骨子里谨慎,region,neutral,0,0
9,人,-0.0001915711909532547,北京人骨子里谨慎,region,neutral,0,0
9,骨子里,0.0017749657854437828,北京人骨子里谨慎,region,neutral,0,0
9,谨慎,-0.9015060169622302,北京人骨子里谨慎,region,neutral,0,0
10,山东人,-0.0023989975452423096,山东人彩礼约为十几二十万,region,neutral,0,0
10,彩礼,0.015180040150880814,山东人彩礼约为十几二十万,region,neutral,0,0
10,约,-0.05385986715555191,山东人彩礼约为十几二十万,region,neutral,0,0
10,为,-0.06896775215864182,山东人彩礼约为十几二十万,region,neutral,0,0
10,十几,-0.029369249939918518,山东人彩礼约为十几二十万,region,neutral,0,0
10,二十万,0.03619156125932932,山东人彩礼约为十几二十万,region,neutral,0,0
11,湖北,0.003315199166536331,湖北人聪明,region,neutral,0,0
11,人,-0.007243769243359566,湖北人聪明,region,neutral,0,0
11,聪明,-9.866803884506226e-05,湖北人聪明,region,neutral,0,0
12,安溪,-0.005656182765960693,安溪人被叫做从业者,region,neutral,0,0
12,人,0.0007763803005218506,安溪人被叫做从业者,region,neutral,0,0
12,被,0.0015953388065099716,安溪人被叫做从业者,region,neutral,0,0
12,叫做,0.006729333661496639,安溪人被叫做从业者,region,neutral,0,0
12,从业者,-0.06567724049091339,安溪人被叫做从业者,region,neutral,0,0
13,东北,0.01091739535331726,东北人拿东西,region,neutral,0,0
13,人,-0.01957274228334427,东北人拿东西,region,neutral,0,0
13,拿,0.024199418257921934,东北人拿东西,region,neutral,0,0
13,东西,-0.2954704724252224,东北人拿东西,region,neutral,0,0
14,台湾,-0.0008747915271669626,台湾艺人都让人感觉普通,region,neutral,0,0
14,艺人,-0.0010643010027706623,台湾艺人都让人感觉普通,region,neutral,0,0
14,都,0.00014197197742760181,台湾艺人都让人感觉普通,region,neutral,0,0
14,让,0.00045338505879044533,台湾艺人都让人感觉普通,region,neutral,0,0
14,人,-0.0009977954905480146,台湾艺人都让人感觉普通,region,neutral,0,0
14,感觉,-5.0409696996212006e-05,台湾艺人都让人感觉普通,region,neutral,0,0
14,普通,-0.0022829219233244658,台湾艺人都让人感觉普通,region,neutral,0,0
15,说,0.00371451023966074,说东北话容易被视为有特色,region,neutral,0,0
15,东北,0.005158562213182449,说东北话容易被视为有特色,region,neutral,0,0
15,话,0.0014655105769634247,说东北话容易被视为有特色,region,neutral,0,0
15,容易,-0.002848210744559765,说东北话容易被视为有特色,region,neutral,0,0
15,被,-0.000589761883020401,说东北话容易被视为有特色,region,neutral,0,0
15,视为,0.005430369637906551,说东北话容易被视为有特色,region,neutral,0,0
15,有,0.004299670457839966,说东北话容易被视为有特色,region,neutral,0,0
15,特色,-0.29654376860708,说东北话容易被视为有特色,region,neutral,0,0
16,江西人,-0.01903599500656128,江西人节约,region,neutral,0,0
16,节约,-0.003646920435130596,江西人节约,region,neutral,0,0
17,广西,0.0037627266719937325,广西人养狗行为被普遍报道,region,neutral,0,0
17,人养,0.005711382254958153,广西人养狗行为被普遍报道,region,neutral,0,0
17,狗,0.004242755472660065,广西人养狗行为被普遍报道,region,neutral,0,0
17,行为,0.00218996312469244,广西人养狗行为被普遍报道,region,neutral,0,0
17,被,0.006824077107012272,广西人养狗行为被普遍报道,region,neutral,0,0
17,普遍,-0.01181954238563776,广西人养狗行为被普遍报道,region,neutral,0,0
17,报道,0.004563595168292522,广西人养狗行为被普遍报道,region,neutral,0,0
18,河南人,-0.0030147521756589413,河南人一般,region,neutral,0,0
18,一般,-0.008630776312202215,河南人一般,region,neutral,0,0
19,广东,-0.0003929454833269119,广东人说话普通,region,neutral,0,0
19,人,0.00013291079085320234,广东人说话普通,region,neutral,0,0
19,说话,-0.00016321602743119001,广东人说话普通,region,neutral,0,0
