token,num_occurrences,cosine_similarity,pearson_correlation,js_divergence
一些,2,0.992029810849258,1.0,4.447278050771461e-06
一般,6,0.9586798125446359,0.9358076944096658,0.09011125121917196
三角形,2,0.9950837872978169,1.0,2.4372609264726865e-05
上海,15,0.44768637772201036,0.4065070943776056,0.25839334407664355
不,5,0.9461874449074206,0.9833948166390813,0.2695265925785704
与,2,-0.8068271966812004,-1.0,0.8325544830027174
东北,30,0.7537184075779098,0.6805023034409008,0.24772838986748502
东北地区,2,0.971611040778627,1.0,4.7102660849015454e-05
东西,2,0.9218294594608367,1.0,1.119553358808329e-05
中国,4,0.9304928109947642,0.9024816984431955,0.29820955557417267
为,5,0.9007988251185973,0.8388724243094982,0.20326083570722417
井盖,3,0.7104978897495033,0.24900540608150412,0.3221539569424735
人,61,0.26194823726835575,0.2624560038751729,0.1442134806516339
人常,4,0.908902240440397,0.950976209138774,0.06744888829333288
人有,2,0.2388422698551397,-1.0,0.8325545476764357
从业者,2,0.959999213167519,1.0,1.0262789762938186e-05
他人,2,0.23609596525484708,1.0,0.27686088943111126
做,3,0.853369036870584,0.7416710534771216,0.28199888938691026
光滑,4,0.9993759742941156,0.9999375234235803,0.0019728563964759877
到,2,0.9976836420787092,1.0,7.394660748738648e-06
北京,11,0.23063066211434827,0.36619033155473435,0.26077097172328506
发展,3,-0.9926691465111998,-0.9997237385746285,0.7905092313922499
口音,5,0.9893677393395541,0.9859299682069698,0.13551103762762945
台湾,6,-0.3585359489927044,-0.33420898186106274,0.4469389270401706
台湾人,10,0.7138351148503141,0.6426210441969458,0.5033733699380587
吃,7,0.46507918649958274,-0.014527172909047037,0.4339943258428019
和,6,0.8808413708630338,0.800567840196728,0.19083160726812462
咸,5,0.9865042312381473,0.9806439751260465,0.03805467324377274
商人,2,0.9996303631284376,1.0,0.032276921495369475
喜欢,5,0.03039116421953799,0.0060483812957758225,0.5154537241742837
四川,2,0.5346886006241625,-1.0,0.44301414026146985
四川人,9,0.5360742048792709,0.287191850699375,0.4344709766372015
因,2,0.9994365812651057,1.0,0.029436938969501603
团结,2,0.9790875263382792,1.0,0.07563175643719211
圆形,5,0.7548941580485004,0.5875742716694651,0.3313853729986771
在,7,0.7983691574251099,0.7015481096322329,0.20654916521695596
多,2,0.7095235636001523,1.0,0.00010659963285764677
大陆,4,0.960419283467592,0.9651420591325327,0.049331040547728064
天津,3,0.23786976610699206,-0.8587304870436872,0.6257443605463413
天津人,3,0.5534386827222598,0.982099085206509,0.04965120228986571
女人,3,-0.2216156246332402,0.007819444413221044,0.37785257706089187
容易,4,0.7782355426539476,0.8227490190528185,0.3311558583617544
寒冷,2,0.9909809530771065,1.0,1.6590244365280501e-06
对,3,0.9387919614949434,0.947490716932903,0.08023737624377943
就,2,0.8654519723781829,1.0,1.2695388936911972e-05
山东,5,0.022139961881472124,0.17929263563493228,0.47807134321786326
山东人,12,0.5647323477344586,0.6370225960199745,0.44268637293469665
差,2,0.9262758278331927,1.0,0.32976258993112156
常,3,0.9977955018800371,0.9992241268866289,0.0080442915400462
常常,2,0.9999136967192089,1.0,3.9435152643211855e-06
常用,2,0.9932986707713121,1.0,3.988402287846707e-05
常见,2,0.9994500148836297,1.0,8.380821269466197e-06
广东,4,0.9536412079932002,0.9681813486917774,0.21179751426220894
应,2,0.6568121559929827,-1.0,0.8325545865663828
强,3,0.9858361993647548,0.8299244678327907,0.06365117136078799
很,5,0.782547791888296,0.8852916811014162,0.10654761167109476
成都,2,-0.9876297900307308,-1.0,0.7182217668026044
打架,2,0.9977404473306238,1.0,0.14828113463570422
把,2,0.9566072792654727,1.0,0.29760071572423125
拿,2,0.9948014736082729,1.0,0.1257152145991082
教育,2,0.9935916358279268,1.0,0.11517208637095641
数量,2,-0.11462961873136739,-1.0,0.8325533598573354
新疆,7,0.9335344694593829,0.926474144198461,0.2674040781562195
方形,2,0.9995217273455037,1.0,0.00025006780748815054
时,5,0.9430221349968941,0.9347475817637456,0.06778371522015159
是,29,0.39669178197979155,0.448888501734954,0.5991382017141218
普通,4,0.7749077793567578,0.0008697032155635248,0.4533673376857346
普遍,3,0.9625381789235773,0.9697688515973736,0.051913265725676
有,7,0.8395970687517368,0.8749285134841602,0.07693280585763378
本地人,2,0.9727664339047435,1.0,1.9842025777570302e-05
歧视,5,0.9127338858366336,0.9932260963678603,0.3172965448399588
江苏,3,0.6264278858031395,0.3351789762967018,0.4867235123534308
江西人,2,0.9710700746436693,1.0,4.143183046045302e-06
没,2,0.9999999875503811,1.0,5.603045918397736e-05
河北人,3,0.6310199285953881,0.5313644955676449,0.5175487795237264
河南,3,0.7657555949285816,0.6229477335618043,0.4197433053480313
河南人,19,0.5343304576310578,0.5498092014316559,0.3384197444585005
浙江人,7,0.4346464013493132,-0.04833224618706912,0.449681084429492
湖北,3,0.9970722514053272,0.9966558197111326,0.17474263307445098
犯罪,2,0.8858180700155559,1.0,0.3360108757464664
甜,2,0.9999964328039319,1.0,2.6458290631439196e-06
男人,2,0.4498554127408353,-1.0,0.5199961023837261
男性,2,0.9764294938806755,1.0,0.2285137314518347
的,38,0.8857544395983201,0.8710345528862303,0.046520414788133006
看不起,2,0.9739649455485884,1.0,0.24359767458588316
看待,2,0.9869042699415295,1.0,1.9314865220748226e-05
福建人,3,-0.9698455456900447,-0.9991548418422336,0.7017839053358351
粗糙,3,0.999876290414744,0.9999974010019226,0.00046608467799731494
素质,6,0.9747877082523784,0.970144007175622,0.24342020951706134
紫色,2,0.9849228880146258,1.0,1.0937556167558722e-05
经济,2,0.9914178703135028,1.0,0.20048411033232652
经济落后,2,0.9828372713936393,-1.0,0.0665666164984061
老,2,0.9990899684716414,1.0,0.007931560075398353
艺人,3,0.22794489364151335,-0.48176657053040145,0.5870138142712168
苏北,2,0.13391504675298385,1.0,5.9180484582674056e-05
行为,3,-0.8803911395857299,-0.6194267035255206,0.5903691179290679
被,19,0.6508820065570137,0.7213615257932895,0.0718474091630606
西藏,2,0.9868275346968566,1.0,9.893025367858842e-06
视为,2,0.08788085075910212,1.0,5.511948345436825e-05
认为,5,0.9410112811962772,0.9524339976569689,0.05166810116946499
让,2,0.7663576644545975,-1.0,0.26735467476320524
误认为,2,0.968244290264534,1.0,0.04898006143736035
说,5,0.5646230300992474,0.2892299815069809,0.3723091641675679
说话,4,0.987095673781783,0.9840737014534149,0.040181729831326535
谨慎,2,0.9997438426146908,1.0,2.8767243291637403e-06
走路,4,0.5736043657610971,-0.2520300339266516,0.47533625570103416
都,8,0.5884338575927097,0.5254915873383739,0.5148859305577519
重,2,0.993202750535736,1.0,0.1648439806185693
重庆,3,0.6030821390756258,0.3541298090697151,0.431250027861915
问题,2,0.993426515826751,1.0,7.528446964580863e-07
陕西人,3,0.9964854673747179,0.9933762736156077,0.05014246420630029
面条,2,0.1920153248013292,1.0,0.0001349113177800085
馒头,2,0.9952307107174398,1.0,0.03672394795953003
骂人,3,0.9780105193353521,0.9917399635421751,0.11311154067361569
骗子,3,0.8752113205164991,0.942214036856698,0.4093654413498887
黑社会,2,0.9783287394754878,1.0,0.2506850399617066
