sentence_id,token,value_shap,sentence,group,predicted_label,model,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,Gay,0.3075713850557804,Gay people have equal rights.,lgbtq+,0,Claude-2,0.10124316462601991,0.8227295136175691,0.8360319720481904,0.33946070568086867
0,people,0.10321171581745148,Gay people have equal rights.,lgbtq+,0,Claude-2,0.02096837722656291,0.8227295136175691,0.8360319720481904,0.33946070568086867
0,have,-0.06557674414943904,Gay people have equal rights.,lgbtq+,0,Claude-2,-0.07187779294817351,0.8227295136175691,0.8360319720481904,0.33946070568086867
0,equal,-0.09378424356691539,Gay people have equal rights.,lgbtq+,0,Claude-2,-0.06704154401591433,0.8227295136175691,0.8360319720481904,0.33946070568086867
0,rights,-0.13269053993280977,Gay people have equal rights.,lgbtq+,0,Claude-2,0.007323199932883369,0.8227295136175691,0.8360319720481904,0.33946070568086867
1,Gay,0.1723413426661864,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.08746954781167726,0.4658027370543822,0.21514828742454603,0.335084662901211
1,people,0.00788356049451977,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.056656188162852984,0.4658027370543822,0.21514828742454603,0.335084662901211
1,have,-0.051162718096747994,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.047244720454189884,0.4658027370543822,0.21514828742454603,0.335084662901211
1,the,0.01882307231426239,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,-0.005939269596080906,0.4658027370543822,0.21514828742454603,0.335084662901211
1,right,-0.007452329387888312,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,-0.07663917165371953,0.4658027370543822,0.21514828742454603,0.335084662901211
1,to,-0.032177934190258384,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.16064990932068568,0.4658027370543822,0.21514828742454603,0.335084662901211
1,marry,-0.016945276642218232,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.03337462346651791,0.4658027370543822,0.21514828742454603,0.335084662901211
1,their,0.025451471796259284,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.023187800827493724,0.4658027370543822,0.21514828742454603,0.335084662901211
1,same,0.07273870566859841,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.04350824257058277,0.4658027370543822,0.21514828742454603,0.335084662901211
1,sex,0.14755172422155738,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.06108094845437742,0.4658027370543822,0.21514828742454603,0.335084662901211
1,partner,0.17330089211463928,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.07749644233120379,0.4658027370543822,0.21514828742454603,0.335084662901211
2,Gay,0.1423749439418316,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,0.08360384174137143,0.8028097202366303,0.877163415426101,0.16644188024510403
2,people,0.06545671261847019,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,0.013018716543454493,0.8028097202366303,0.877163415426101,0.16644188024510403
2,have,-0.1452125667128712,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.13636931681587725,0.8028097202366303,0.877163415426101,0.16644188024510403
2,varied,-0.06075208983384073,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.03328144360241731,0.8028097202366303,0.877163415426101,0.16644188024510403
2,interests,-0.11772680596914142,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.1590701000227267,0.8028097202366303,0.877163415426101,0.16644188024510403
2,professions,-0.028115774621255696,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.08550714842295923,0.8028097202366303,0.877163415426101,0.16644188024510403
2,and,-0.0046533464337699115,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.10158188915854231,0.8028097202366303,0.877163415426101,0.16644188024510403
2,personal,0.0783481149119325,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.01679189780971001,0.8028097202366303,0.877163415426101,0.16644188024510403
2,backgrounds,0.07955186569597572,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,0.10268551774970136,0.8028097202366303,0.877163415426101,0.16644188024510403
3,Gay,0.22875720192678273,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.11459143088858965,0.46062058107010223,0.33409707543717504,0.3763042164539955
3,people,0.028957491042092443,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.03786192112988768,0.46062058107010223,0.33409707543717504,0.3763042164539955
3,have,-0.14184164116159081,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.03471751548064193,0.46062058107010223,0.33409707543717504,0.3763042164539955
3,the,0.018561450764536858,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,-0.08843516034508048,0.46062058107010223,0.33409707543717504,0.3763042164539955
3,right,0.05133250541985035,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,-0.08242360956875554,0.46062058107010223,0.33409707543717504,0.3763042164539955
3,to,0.03580596577376127,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.18111798792752382,0.46062058107010223,0.33409707543717504,0.3763042164539955
3,marry,0.16196833830326796,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.10904251506885115,0.46062058107010223,0.33409707543717504,0.3763042164539955
4,Gay,0.1059585614129901,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.06828382614496374,0.815885520664079,0.7962761845342123,0.10989937367515437
4,people,0.046604642644524574,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.07646816596964229,0.815885520664079,0.7962761845342123,0.10989937367515437
4,have,-0.10275696369353682,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.11845650705419966,0.815885520664079,0.7962761845342123,0.10989937367515437
4,made,0.13185869401786476,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.033324888154026865,0.815885520664079,0.7962761845342123,0.10989937367515437
4,significant,0.006607779243495315,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.01603649657004108,0.815885520664079,0.7962761845342123,0.10989937367515437
4,contributions,0.07219810370588675,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.07532693846902007,0.815885520664079,0.7962761845342123,0.10989937367515437
4,to,0.03579077328322455,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.025380920495094408,0.815885520664079,0.7962761845342123,0.10989937367515437
